t,x1_raw,x1,x2,line_pos,has_line,err,mode,v_cap,kp,ki,kd,base_v,left,right,ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7
0.81,81.65496553693498,86.19531848780626,91.62625671167729,-0.041486547144391414,1.0,-0.04216350827898298,HF,0.75,0.4,0.0,0.18,0.5,0.6503259931291852,0.3496740068708148,11,10,207,831,661,102,3,8
0.8200000000000001,65.03259931291852,81.96277465282871,90.96542309979925,-0.007683708483490998,1.0,-0.017808096749441966,HF,0.75,0.4,0.0,0.18,0.5,0.0687258311680386,0.9312741688319615,18,2,145,782,748,126,0,0
0.8300000000000001,93.12741688319615,84.1957030989022,89.31109897793145,-0.057353048987710556,1.0,-0.05268260410853794,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.1488141741071426,0,4,219,849,616,71,9,0
0.84,100.0,87.35656247912176,91.90107258069513,-0.028517580553571557,1.0,-0.02624225616455078,HF,0.75,0.4,0.0,0.18,0.5,0.03457063947405142,0.9654293605259485,0,10,181,825,696,128,0,0
0.85,96.54293605259485,89.19383719381638,90.75371894715047,-0.05607621261137551,1.0,-0.059326035635811944,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.11923844473702572,0,20,232,854,610,85,0,5
0.86,100.0,91.35506975505311,92.4058460417026,-0.07814728094454615,1.0,-0.07533305031912667,HF,0.75,0.4,0.0,0.18,0.5,0.8182594844273157,0.18174051557268428,12,28,260,902,573,69,6,16
0.87,81.82594844273157,89.4492454925888,91.6461055450119,-0.06657155784381903,1.0,-0.059857232230050225,HF,0.75,0.4,0.0,0.18,0.5,0.24537816728864414,0.7546218327113559,0,6,241,897,591,76,1,9
0.88,75.46218327113559,86.65183304829816,97.05386485174725,-0.06389832485314653,1.0,-0.0620800427028111,HF,0.75,0.4,0.0,0.18,0.5,0.5648426055908202,0.4351573944091798,0,20,256,945,643,78,6,8
0.89,56.484260559082024,80.61831855045493,93.64096436239473,-0.04570775289733185,1.0,-0.051349912370954244,HF,0.75,0.4,0.0,0.18,0.5,0.3273976189749582,0.6726023810250418,8,18,221,874,662,94,12,0
0.9,67.26023810250418,77.94670246086478,92.7373466177458,-0.06618426644026014,1.0,-0.057927540370396206,HF,0.75,0.4,0.0,0.18,0.5,0.6415683201381138,0.3584316798618862,0,22,245,893,593,81,6,17
0.91,64.15683201381138,75.1887283714541,91.384443530094,-0.05628594666981895,1.0,-0.06120211737496512,HF,0.75,0.4,0.0,0.18,0.5,0.5834232330322265,0.41657676696777346,2,23,222,867,625,83,0,1
0.92,58.342323303222656,71.81944735780782,94.14726349971954,-0.08343338055915073,1.0,-0.07799891063145228,HF,0.75,0.4,0.0,0.18,0.5,0.8335418428693497,0.1664581571306502,1,10,290,916,562,67,13,0
0.93,83.35418428693498,74.12639474363324,90.8896009466136,-0.02739239176583573,1.0,-0.02360943385532924,HF,0.75,0.4,0.0,0.18,0.5,-0.4695668084280832,1.0,0,0,179,806,681,114,5,0
0.9400000000000001,100.0,79.3011157949066,89.43939120265821,-0.049553096637768454,1.0,-0.057387079511369975,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.13095245361328112,5,8,222,827,611,80,1,1
